IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
8.219.111.147,4,4,0.00,111.59,0.00
51.79.254.182,4,4,0.00,112.26,0.00
13.250.131.37,4,4,0.00,113.31,0.00
15.235.162.49,4,4,0.00,179.67,0.00
168.138.184.172,4,4,0.00,184.65,0.00
104.248.145.216,4,4,0.00,252.83,0.00
47.236.251.178,4,4,0.00,254.33,0.00
128.199.218.226,4,4,0.00,265.08,0.00
209.97.172.173,4,4,0.00,266.92,0.00
188.166.199.61,4,4,0.00,267.17,0.00
47.74.155.26,4,4,0.00,425.32,0.00
152.69.219.32,4,3,0.25,156.83,0.00
168.138.165.174,4,3,0.25,169.51,0.00
138.2.75.91,4,2,0.50,194.69,0.00
152.69.210.245,4,2,0.50,206.59,0.00
129.150.51.134,4,2,0.50,262.37,0.00
